name,selling_price,km_driven,fuel,transmission,mileage,seats
Toyota Camry 2.5 Hybrid,2000000,68089,Petrol,Automatic,19.16,5
Maruti Wagon R LXI,225000,58343,Petrol,Manual,21.79,5
Maruti Baleno Alpha 1.3,740000,38817,Diesel,Manual,27.39,5
Honda Jazz VX,550000,56494,Petrol,Manual,18.2,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,Manual,12.99,7
Maruti Swift AMT VVT VXI,650000,5621,Petrol,Automatic,22.0,5
Toyota Etios VX,625000,25538,Petrol,Manual,16.78,5
Maruti Swift AMT ZXI,600000,69779,Petrol,Automatic,22.0,5
Hyundai Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,Manual,24.0,5
BMW X4 M Sport X xDrive20d,5400000,7500,Diesel,Automatic,16.78,5
BMW X4 M Sport X xDrive20d,5500000,8500,Diesel,Automatic,16.78,5
Honda Amaze V CVT Petrol BSIV,779000,7032,Petrol,Automatic,19.0,5
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,Automatic,14.3,5
Volvo V40 D3 R-Design,2475000,2000,Diesel,Automatic,16.8,5
Hyundai i10 Magna,150000,106000,Petrol,Manual,20.36,5
Honda CR-V 2.4L 4WD AT,500000,120000,Petrol,Automatic,11.1,5
Maruti Swift Dzire VDI,480000,90000,Diesel,Manual,26.59,5
Hyundai Verna 1.6 SX CRDi (O),535000,70000,Diesel,Manual,22.32,5
Toyota Innova 2.5 G1 Diesel 8-seater,250000,240000,Diesel,Manual,12.8,8
Maruti SX4 Celebration Diesel,300000,100000,Diesel,Manual,21.5,5
Hyundai Verna XXi ABS (Petrol),340000,214000,Petrol,Manual,13.9,5
Hyundai Verna CRDi SX,340000,214000,Diesel,Manual,16.8,5
Maruti Alto 800 VXI,240000,50000,Petrol,Manual,22.74,5
Honda City i-VTEC CVT V,1085000,1000,Petrol,Automatic,18.0,5
Maruti Swift Dzire AMT VDI,750000,19000,Diesel,Automatic,28.4,5
Tata Indigo LS,95000,265000,Diesel,Manual,17.0,5
Maruti Eeco CNG 5 Seater AC,409999,35000,CNG,Manual,20.88,5
Maruti Alto K10 VXI,215000,80000,Petrol,Manual,23.95,5
Mahindra XUV500 AT W10 AWD,1290000,50000,Diesel,Automatic,16.0,7
Maruti Alto K10 LXI,150000,80000,Petrol,Manual,20.92,5
Hyundai EON Sportz,219000,50000,Petrol,Manual,21.1,5
Tata Tiago 1.2 Revotron XE,325000,100000,Petrol,Manual,23.84,5
Maruti Eeco Smiles 5 Seater AC,260000,120000,Petrol,Manual,15.1,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,Automatic,13.6,5
Lexus ES 300h,5150000,20000,Petrol,Automatic,22.37,5
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,Automatic,19.33,5
Tata Safari Storme EX,503000,110000,Diesel,Manual,14.1,7
Volvo XC40 D4 Inscription BSIV,3800000,20000,Diesel,Automatic,18.0,5
